acc_x,speed_x_km,time,acc_y,speed_y_km,speed
-0.13946629,-8.1508,61,-0.17544878,-55.7021,56
0.53304935,-8.1508,61,-1.0302153,-55.7021,56
0.2713225,-7.1740,62,-2.100177,-63.2627,64
1.8799226,-7.1740,62,-0.5767874,-63.2627,64
-1.5916799,-12.9041,63,1.1016989,-59.2966,61
1.517488,-12.9041,63,1.1316099,-59.2966,61
-0.035986423,-13.0336,64,0.5330645,-57.3776,59
1.4412134,-7.8453,65,0.37190998,-56.0387,57
2.3300555,-7.8453,65,0.3434502,-56.0387,57
1.7155428,-1.6693,66,0.55796635,-54.0300,54
-1.4935509,-1.6693,66,-0.20946038,-54.0300,54
-0.071065664,-1.9251,67,0.059405506,-53.8162,54
-0.7114564,-1.9251,67,-1.5197556,-53.8162,54
-0.04023862,-2.0700,68,-0.8266994,-56.7923,57
-1.3797278,-2.0700,68,-0.75483006,-56.7923,57
0.07877898,-1.7864,69,-4.6997952,-73.7116,74
-1.182549,-1.7864,69,-3.7053783,-73.7116,74
0.2084353,-1.0360,70,-1.2599003,-78.2472,78
-1.2637064,-1.0360,70,-2.6159873,-78.2472,78
-0.0868597,-1.3487,71,-0.021889508,-78.3260,78
-0.9859482,-4.8981,72,0.24473265,-77.4450,78
-1.1734124,-4.8981,72,-0.772667,-77.4450,78
-1.3149033,-9.6318,73,2.2784572,-69.2425,70
-1.628464,-9.6318,73,1.0364846,-69.2425,70
-0.38850576,-11.0304,74,-0.36773205,-70.5664,71
-0.89852214,-11.0304,74,-0.98570687,-70.5664,71
-0.59843284,-13.1848,75,-0.28149295,-71.5797,73
1.701804,-13.1848,75,-0.9979348,-71.5797,73
1.1648561,-8.9913,76,-0.24575579,-72.4645,73
1.3077285,-8.9913,76,-1.8989956,-72.4645,73
0.86962986,-5.8606,77,-0.41113913,-73.9446,74
-2.4770627,-14.7780,78,-1.3533103,-78.8165,80
-0.7665665,-14.7780,78,-2.372037,-78.8165,80
0.5450225,-12.8160,79,-2.2015684,-86.7421,88
-0.22052419,-12.8160,79,-0.2243824,-86.7421,88
0.28510702,-11.7896,80,-0.032849908,-86.8604,88
-0.36477995,-11.7896,80,-0.75263965,-86.8604,88
-0.26799905,-12.7544,81,-0.71892405,-89.4485,90
0.79800427,-12.7544,81,-2.897769,-89.4485,90
0.76148415,-10.0130,82,-3.2722623,-101.2286,102
0.7784623,-10.0130,82,-1.9260757,-101.2286,102
-0.4103278,-11.4902,83,-1.5791084,-106.9134,108
-2.2513096,-11.4902,83,-0.78063375,-106.9134,108
0.14630604,-10.9635,84,0.72609425,-104.2995,105
-1.0709188,-14.8188,85,-0.29719815,-105.3694,106
0.20485091,-14.8188,85,-1.1254336,-105.3694,106
-1.5810894,-20.5107,86,-0.6375134,-107.6645,110
-2.230279,-20.5107,86,-0.8359734,-107.6645,110
-2.792801,-30.5648,87,-0.27316356,-108.6479,113
0.011655569,-30.5648,87,-0.15809092,-108.6479,113
0.62809736,-28.3037,88,0.44010204,-107.0635,111
0.3214538,-28.3037,88,0.051660016,-107.0635,111
0.83610725,-25.2937,89,-2.0364637,-114.3948,117
2.0276046,-25.2937,89,0.20543319,-114.3948,117
1.2021904,-20.9658,90,-0.49996188,-116.1946,118
0.6141052,-20.9658,90,0.8150452,-116.1946,118
-1.6206673,-26.8002,91,-0.044861384,-116.3561,119
0.41583645,-25.3032,92,-0.52546084,-118.2478,121
