acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label
-2.0775704,-32.9401,141,0.47456527,-64.1777,72,1
-1.7709407,-32.9401,141,0.32360435,-64.1777,72,1
-1.0430828,-36.6952,142,-0.22923493,-65.0029,75,1
-1.6164684,-36.6952,142,-0.013871908,-65.0029,75,1
-2.3421397,-45.1269,143,1.060869,-61.1838,76,1
-0.9390771,-45.1269,143,-0.4994235,-61.1838,76,1
0.3344388,-43.9229,144,-0.56099504,-63.2034,77,1
-0.40551174,-43.9229,144,-0.62893564,-63.2034,77,1
2.1116695,-36.3209,145,-0.18945885,-63.8855,73,1
0.9835638,-32.7800,146,-1.0164614,-67.5447,75,1
-0.11665785,-32.7800,146,-1.339486,-67.5447,75,1
-0.78104174,-35.5918,147,0.3681436,-66.2194,75,1
-0.4845345,-35.5918,147,0.5245966,-66.2194,75,1
-0.36135757,-36.8927,148,0.653365,-63.8673,74,1
-0.17305136,-36.8927,148,0.594558,-63.8673,74,1
1.6964655,-30.7854,149,1.5538425,-58.2735,66,1
1.737644,-30.7854,149,0.95342374,-58.2735,66,1
-0.22283137,-31.5876,150,0.67771256,-55.8337,64,1
1.8294368,-31.5876,150,-0.6129573,-55.8337,64,1
1.3608747,-26.6884,151,-0.39464924,-57.2544,63,1
2.2587337,-26.6884,151,-0.106212884,-57.2544,63,1
-0.7556101,-29.4086,152,-0.42481306,-58.7838,66,1
-2.5224445,-38.4894,153,-1.554691,-64.3806,75,1
-1.6675365,-38.4894,153,-0.9851871,-64.3806,75,1
-1.0189577,-42.1577,154,0.3555774,-63.1006,76,1
-0.82554615,-42.1577,154,0.62454057,-63.1006,76,1
-0.0007267,-42.1603,155,-0.7320622,-65.7360,78,1
-0.124697685,-42.1603,155,1.3492811,-65.7360,78,1
1.5441127,-36.6015,156,-0.13220355,-66.2119,76,1
-0.62998724,-36.6015,156,-0.8365323,-66.2119,76,1
-0.29793346,-37.6741,157,-1.1543016,-70.3674,80,1
0.4789641,-37.6741,157,-2.1047263,-70.3674,80,1
-1.3421266,-42.5057,158,-1.009614,-74.0020,85,1
-0.33580267,-43.7146,159,0.5922353,-71.8700,84,1
-1.280369,-43.7146,159,-0.7850879,-71.8700,84,1
-0.60204923,-45.8820,160,-1.7551825,-78.1886,91,1
-1.9835314,-45.8820,160,-0.16687787,-78.1886,91,1
-3.7373357,-59.3364,161,-0.18634301,-78.8595,99,1
-3.1920638,-59.3364,161,0.4822656,-78.8595,99,1
0.5413372,-57.3876,162,0.001234174,-78.8550,98,1
-1.5564988,-57.3876,162,0.18361433,-78.8550,98,1
1.2524033,-52.8789,163,-0.77510464,-81.6454,97,1
0.11569905,-52.8789,163,-1.027419,-81.6454,97,1
-0.13417673,-53.3620,164,-1.8457432,-88.2901,103,1
-0.58816135,-53.3620,164,-2.580681,-88.2901,103,1
-0.51196456,-55.2050,165,-1.4584947,-93.5406,109,1
0.08054972,-54.9151,166,0.15750861,-92.9736,108,1
1.2344418,-54.9151,166,0.24361688,-92.9736,108,1
1.0942656,-50.9757,167,0.11471915,-92.5606,106,1
1.1046184,-50.9757,167,0.55082715,-92.5606,106,1
-0.15958393,-51.5502,168,0.22506541,-91.7504,105,1
1.1647046,-51.5502,168,1.9358611,-91.7504,105,1
-0.53488064,-53.4758,169,0.17315102,-91.1270,106,1
1.0837841,-53.4758,169,0.77579236,-91.1270,106,1
-0.84809554,-56.5289,170,0.77965057,-88.3203,105,1
-1.0400504,-56.5289,170,0.008624114,-88.3203,105,1
-1.3580031,-61.4177,171,-0.23484321,-89.1657,108,1
-0.77663845,-61.4177,171,-0.9758723,-89.1657,108,1
-1.1825325,-65.6748,172,-0.8154366,-92.1013,113,1
0.24028659,-64.8098,173,-0.8117553,-95.0236,115,1
