acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label,timestamp
0.53837967,22.6181,69,-0.070819944,12.3973,26,0,3581698
-2.2353997,22.6181,69,-2.6225307,12.3973,26,0,3581698
0.34413934,23.8570,70,0.25052288,13.2992,27,0,3581699
0.6799526,23.8570,70,-1.0601444,13.2992,27,0,3581699
-0.49350238,22.0804,71,-0.11575872,12.8825,26,0,3581700
0.18948174,22.0804,71,-0.31755272,12.8825,26,0,3581700
0.3959098,23.5057,72,0.10250321,13.2515,27,0,3581701
-0.096042156,23.5057,72,0.48772928,13.2515,27,0,3581701
-2.1764052,15.6706,73,-1.2252504,8.8406,18,0,3581702
-0.46546447,15.6706,73,0.22124556,8.8406,18,0,3581702
0.7124877,18.2356,74,0.16797096,9.4453,21,0,3581703
-0.32323945,17.0719,75,0.11686492,9.8660,20,0,3581704
-1.7656263,17.0719,75,-0.37063468,9.8660,20,0,3581704
0.43888128,18.6519,76,0.1629256,10.4525,21,0,3581705
0.6038188,18.6519,76,0.08533296,10.4525,21,0,3581705
1.0584856,22.4624,77,0.6238576,12.6984,26,0,3581706
-2.5702531,22.4624,77,0.123048544,12.6984,26,0,3581706
-0.5883533,20.3444,78,-0.9125505,9.4132,22,0,3581707
0.07427657,20.3444,78,-0.023941457,9.4132,22,0,3581707
0.099351406,20.7020,79,-0.3889095,8.0131,22,0,3581708
-0.99984616,20.7020,79,0.22399685,8.0131,22,0,3581708
-0.34422362,19.4628,80,-1.0760529,4.1393,20,0,3581709
0.621945,19.4628,80,0.2177471,4.1393,20,0,3581709
-0.15884256,18.8910,81,-0.1278511,3.6791,19,0,3581710
0.3085351,20.0017,82,0.6690208,6.0876,21,0,3581711
0.13886309,20.0017,82,0.06452134,6.0876,21,0,3581711
0.2125578,20.7669,83,0.6613016,8.4682,22,0,3581712
-1.1739001,20.7669,83,0.18183313,8.4682,22,0,3581712
0.16520143,21.3617,84,0.08641583,8.7793,23,0,3581713
-0.74853444,21.3617,84,-0.57277286,8.7793,23,0,3581713
-2.00992,14.1259,85,-0.19262809,8.0859,16,0,3581714
-0.25980926,14.1259,85,0.021986157,8.0859,16,0,3581714
-0.7795375,11.3196,86,-0.8605159,4.9880,12,0,3581715
0.072965264,11.3196,86,-0.3128336,4.9880,12,0,3581715
-1.0269365,7.6226,87,-0.109438896,4.5940,9,0,3581716
-1.2551696,3.1040,88,-0.35059828,3.3319,5,0,3581717
0.12499118,3.1040,88,0.4009652,3.3319,5,0,3581717
0.07858431,3.3869,89,0.1679191,3.9364,5,0,3581718
-0.019195676,3.3869,89,0.9062663,3.9364,5,0,3581718
-0.954956,-0.0509,90,0.87926555,7.1017,7,0,3581719
0.26113033,-0.0509,90,0.4742611,7.1017,7,0,3581719
0.35154867,1.2147,91,-0.63921416,4.8006,5,0,3581720
-0.63067853,1.2147,91,-0.018778443,4.8006,5,0,3581720
-0.030500889,1.1049,92,0.30376703,5.8941,6,0,3581721
-1.289685,1.1049,92,-0.115615636,5.8941,6,0,3581721
-0.30338907,0.0127,93,-0.110931456,5.4948,5,0,3581722
0.609426,0.0127,93,0.66215885,5.4948,5,0,3581722
1.2453699,4.4960,94,0.24906662,6.3914,8,0,3581723
-0.56093645,2.4766,95,-0.30215263,5.3037,6,0,3581724
-0.3489778,2.4766,95,-0.13491347,5.3037,6,0,3581724
-0.9998747,-1.1229,96,0.10331097,5.6756,6,0,3581725
-0.37709296,-1.1229,96,-0.07718876,5.6756,6,0,3581725
0.1658454,-0.5259,97,1.0683217,9.5216,10,0,3581726
-0.50528693,-0.5259,97,-0.502498,9.5216,10,0,3581726
0.54552734,1.4380,98,0.3603191,10.8187,11,0,3581727
0.56569004,1.4380,98,0.19770347,10.8187,11,0,3581727
-0.19473088,0.7370,99,0.060111776,11.0351,11,0,3581728
-0.89525217,0.7370,99,0.8138418,11.0351,11,0,3581728
-1.1076754,-3.2507,100,0.102330625,11.4035,12,0,3581729
-0.16928744,-3.2507,100,-0.64861035,11.4035,12,0,3581729
-0.36941272,-4.5805,101,-1.0454613,7.6398,9,0,3581730
-0.18624103,-5.2510,102,0.15898281,8.2122,10,0,3581731
0.5912616,-5.2510,102,1.1605201,8.2122,10,0,3581731
0.30055654,-4.1690,103,0.8744776,11.3603,12,0,3581732
0.5082655,-4.1690,103,0.84723324,11.3603,12,0,3581732
0.46527594,-2.4940,104,0.9880246,14.9172,15,0,3581733
1.6348356,-2.4940,104,0.8233796,14.9172,15,0,3581733
0.27278423,-1.5120,105,-0.86840117,11.7909,12,0,3581734
0.14330971,-1.5120,105,0.3106379,11.7909,12,0,3581734
0.22151637,-0.7145,106,-0.1322175,11.3150,11,0,3581735
-0.87528354,-0.7145,106,-1.0349618,11.3150,11,0,3581735
-0.52453035,-2.6028,107,-0.3676846,9.9913,10,0,3581736
-1.1108165,-2.6028,107,-0.2950815,9.9913,10,0,3581736
0.11844677,-2.1764,108,0.29510713,11.0537,11,0,3581737
-0.94268507,-5.5701,109,-0.82256925,8.0924,10,0,3581738
0.94948334,-5.5701,109,-0.252551,8.0924,10,0,3581738
-0.82633543,-8.5449,110,-2.0553443,0.6932,9,0,3581739
-0.44769895,-8.5449,110,-0.23048991,0.6932,9,0,3581739
-0.5651398,-10.5794,111,0.64710504,3.0228,11,0,3581740
0.024288774,-10.5794,111,-0.37834877,3.0228,11,0,3581740
-0.8651426,-13.6939,112,-0.38633198,1.6320,14,0,3581741
0.6980934,-13.6939,112,0.26479465,1.6320,14,0,3581741
0.40509462,-12.2356,113,-0.8195543,-1.3184,12,0,3581742
0.21581864,-12.2356,113,0.22475779,-1.3184,12,0,3581742
0.7551739,-9.5170,114,1.2963527,3.3484,10,0,3581743
-0.21097851,-9.5170,114,1.525346,3.3484,10,0,3581743
-0.114616156,-9.9296,115,0.07744706,3.6273,11,0,3581744
0.3717258,-8.5914,116,0.83368415,6.6285,11,0,3581745
-1.2199274,-8.5914,116,-0.11093432,6.6285,11,0,3581745
-0.56600654,-10.6290,117,1.1734192,10.8528,15,0,3581746
-0.49220324,-10.6290,117,0.49415994,10.8528,15,0,3581746
-0.4524958,-12.2580,118,0.18226802,11.5090,17,0,3581747
-0.03872633,-12.2580,118,1.104155,11.5090,17,0,3581747
0.5362265,-10.3276,119,-0.55118215,9.5247,14,0,3581748
1.5162001,-10.3276,119,-0.6167873,9.5247,14,0,3581748
1.1926036,-6.0342,120,-0.30191213,8.4378,10,0,3581749
-0.111887455,-6.0342,120,-0.46296084,8.4378,10,0,3581749
-0.7728926,-8.8166,121,-0.437751,6.8619,11,0,3581750
-1.6802438,-14.8655,122,-0.9497519,3.4428,15,0,3581751
-0.43703926,-14.8655,122,-0.30933052,3.4428,15,0,3581751
0.025582075,-14.7734,123,0.39271176,4.8566,16,0,3581752
-0.041906357,-14.7734,123,0.7844308,4.8566,16,0,3581752
-0.44848144,-16.3879,124,0.6266706,7.1126,18,0,3581753
0.3257618,-16.3879,124,0.28647316,7.1126,18,0,3581753
0.21991014,-15.5962,125,0.44876638,8.7282,18,0,3581754
-0.7502197,-15.5962,125,-0.25288218,8.7282,18,0,3581754
0.45788026,-13.9479,126,-0.13255823,8.2510,16,0,3581755
